"_id";correspond;first
5cdf01ea45d3d811cf772297;S;rusuh pikiran
5cdf01ea45d3d811cf772298;S;imbang-imbangan
5cdf01ea45d3d811cf772299;S;limbung
5cdf01ea45d3d811cf77229a;S;santai
5cdf01ea45d3d811cf77229b;S;tidak resmi
5cdf01ea45d3d811cf77229c;S;tangan kanan
5cdf01ea45d3d811cf77229d;S;pengorbanan
5cdf01ea45d3d811cf77229e;S;menolong
5cdf01ea45d3d811cf77229f;S;mengulas tangan
5cdf01ea45d3d811cf7722a0;S;menggemboskan
5cdf01ea45d3d811cf7722a1;S;mengantapkan
5cdf01ea45d3d811cf7722a2;S;toleran
5cdf01ea45d3d811cf7722a3;S;berpadang luas
5cdf01ea45d3d811cf7722a4;S;mapan
5cdf01ea45d3d811cf7722a5;S;kestabilan
5cdf01ea45d3d811cf7722a6;S;keseimbangan
5cdf01ea45d3d811cf7722a7;S;melar
5cdf01ea45d3d811cf7722a8;S;longo
5cdf01ea45d3d811cf7722a9;S;melompong
5cdf01ea45d3d811cf7722aa;S;blakblakan
