correspond;second
C;tipu muslihat
C;metode
C;efisien
C;berwaspada
C;berjaga-jaga
C;selektif
C;lekat
C;kalkulasi
C;daftar
C;carik
C;sobekan
C;pernik
C;cabik
C;rusak
C;deskripsi
C;kupasan
C;jabaran
C;pembicaraan
C;elaborasi
C;bahasan
C;gambaran
C;definisi
C;tafsir
C;paparan
C;klarifikasi
C;laporan
C;berhasil
C;bertepat guna
C;konklusif
C;sehat
C;membangun
C;berfaedah
C;bermanfaat
C;berkekuatan
C;berguna
C;sukses
C;berjaya
C;tercapai
C;berbuah
C;bertelur
C;bilas
C;banjir
C;bahari
C;asian
C;menguntungkan
C;sepatutnya
C;tampan
C;kebaikan
C;sembuh
C;produktif
C;oke
C;setuju
C;konstruktif
C;waras
C;selamat
C;realistis
C;kesaksian
C;alibi
C;bukti
C;petunjuk
C;autentisitas
C;aktualitas
C;realitas
C;kebetulan
C;ijazah
C;kesahihan
C;izin
C;persetujuan
C;isyarat
C;sinyal
C;fenomena
C;pertanda
C;simtom
C;kenyataan
C;gelagat
C;tanda-tanda
C;indikasi
C;bumbu
C;pelajaran
C;keterangan
C;materi
C;objek
C;barang
C;informasi
C;masukan
C;target
C;sasaran
C;argumen
C;liputan
C;penerangan
C;kabar
C;pemberitahuan
C;penjelasan
C;warta
C;edaran
C;hipotesis
C;kaidah
C;aksioma
C;penunjukan
C;doktrin
C;rumusan
C;arahan
C;fatwa
C;penanda
C;pertunjuk
C;kompas
C;petanda
C;sasana
C;instruksi
C;bimbingan
C;atribut
C;pemimpin
C;aba-aba
C;biodata
C;deklarasi
C;memori
C;realisasi
C;terbukti
C;kejadian
C;wujud
C;kehakikian
C;statistik
C;evidensi
C;pertimbangan
C;argumentasi
C;latar belakang
C;pasal
C;faktor
C;kilah
C;akuisisi
C;kesempurnaan
C;pengenal
C;aspek
C;sein
C;semboyan
C;ikon
C;kejuruan
C;dunia
C;disiplin
C;jurusan
C;keterampilan
C;bidang
C;kemahiran
C;petak
C;lebar
C;bagian
C;piring
C;lapangan
C;lingkungan
C;segi
C;sains
C;kepandaian
C;globe
C;kalangan
C;benua
C;kosmos
C;kolong langit
C;jagat
C;semesta
C;kepatuhan
C;ketaatan
C;kekhususan
C;ketertiban
C;spesialisasi
C;tata tertib
C;akurasi
C;kecermatan
C;kehati-hatian
C;ketelitian
C;kewaspadaan
C;kedayagunaan
C;kemampuan
C;ketepatgunaan
C;monopoli
C;jangkauan
C;pemilikan
C;kecakapan
C;kecerdasan
C;kelihaian
C;kecerdikan
C;kecendekiaan
C;kiat
C;resep
C;kapabilitas
C;kebolehan
C;kualifikasi
C;ketajaman
C;kapasitas
C;kunci
C;kesanggupan
C;potensi
C;tingkat
C;peringkat
C;pangkat
C;tahap
C;level
C;tingkatan
C;taksiran
C;keperluan
C;gerakan
C;identitas
C;keistimewaan
C;individualitas
C;fitur
C;isi kepala
C;sumsum
C;kredibel
C;kompetitif
C;rasional
C;berontak
C;berhadapan
C;melayani
C;cegah
C;menyalahi
C;menyanggah
C;basmi
C;menghilangkan
C;mencegah
C;menyangkal
C;bertanding
C;tentang
C;menganjurkan
C;mengundang
C;mengajak
C;memengaruhi
C;membujuk
C;menjemput
C;menyeru
C;membawa
C;mempersilakan
C;membantah
C;menangkis
C;mendebat
C;menampik
C;memprotes
C;menolak
C;menepis
C;menanggulangi
C;menjumpai
C;mengarah
C;mengisai
C;menjabarkan
C;menjelajahkan
C;mengungkapkan
C;membabarkan
C;memerinci
C;mendeskripsikan
C;merencanakan
C;menekuni
C;meriset
C;menyidik
C;menginvestigasi
C;tanggal
C;kubik
C;progres
C;pertambahan
C;kendaraan
C;eskalasi
C;peningkatan
C;penambahan
C;substitusi
C;pengganti
C;seleksi
C;prioritas
C;unjuk kerja
C;berhalangan
C;dibolehkan
C;diperkenankan
C;diizinkan
C;cermat-cermat
C;perhatikan
C;camkan
C;hemat-hemat
C;berkira-kira
C;bercadang-cadang
C;berpikir-pikir
C;berhitung-hitung
C;menimbang-nimbang
C;bersiap-siap
C;siap sedia
D;modis
D;mutakhir
D;modern
D;prima
D;aktual
D;nontradisional
D;terbaru
D;masa kini
D;terakhir
D;yunior
D;ujung
D;bugar
D;fit
D;tinggal
D;bangkit
D;duduk
D;berdiam
D;mukim
D;membesar
D;menetap
D;bermukim
D;beralamat
D;kesatu
D;terutama
D;terpenting
D;mula-mula
D;simpatik
D;meruncing
D;genting
D;sewaktu
D;semasa
D;datang
D;menomorduakan
D;kesudahan
D;belakangan
D;pagi
D;induk
D;permulaan
D;pagi buta
D;asal
D;pangkal
D;start
D;benih
D;dini
D;pagi-pagi
D;dahulu
D;sebab
D;nyata
D;sebetulnya
D;positif
D;sebenarnya
D;faktual
D;sesungguhnya
D;menengah
D;sederhana
D;lumayan
D;sementara
D;patut
D;selang
D;sementara itu
D;pertengahan
D;pantas
D;cukup
D;lembang
D;sawah
D;kaki bukit
D;dataran rendah
D;lembah
D;turun
D;menurun
D;sisi belakang
D;mudik
D;ulang
D;rujuk
D;pulang
D;putar
D;mepet
D;mikro
D;sedikit
D;mini
D;sekepal
D;remeh
D;cekak
D;sipil
D;cilik
D;minor
D;lirih
D;inferior
D;lemah
D;tercela
D;perlahan-lahan
D;gemuruh
D;pelan
D;teras
D;punca
D;tumpuan
D;usul
D;panduan
D;basis
D;pembawaan
D;asas
D;marga
D;geladak
D;lunas
D;fundamen
D;batu tapakan
D;alasan
D;alur sungai
D;memang
D;latar
D;pantat
D;asasi
D;motif
D;ukuran
D;undang-undang
D;lantai
D;rukun
D;rancangan
D;batu sendi
D;pijakan
D;bakat
D;syarat
D;falsafah
D;esensi
D;persendian
D;perahu
D;landasan
D;pilar
D;fondasi
D;saka guru
D;prinsip
D;baku
D;sila
D;pedoman
D;tiang
D;hakikat
D;perangai
D;peraturan
D;lincah
D;sigap
D;lampias
D;suram
D;pengawasan
D;gerlap
D;kilas
D;kunjung
D;sikap
D;lintas
D;tinggi
D;sangat
D;keren
D;lebat hujan
D;kawakan
D;ber pengalaman
D;sepadan
D;laik
D;genap
D;sebentar lagi
D;demi
D;menghulukan
D;berkunjung
D;pernah
D;menyambangi
D;erat-erat
D;santer
D;senter
D;jantung
D;poin
D;biang
D;saripati
D;nukleus
D;intisari
D;substansi
D;ekstrak
D;tergantung
D;terserah
D;modal
D;asal mula
D;topik
D;pelataran
D;pekarangan
D;tanah kampung
D;serambi
D;atrium
D;balkon
D;peranginan
D;selasar
D;permukaan
D;dekor
D;hiasan
D;perlak
D;ciptaan
D;buatan
D;komoditas
D;gaji
D;hitungan
D;bayaran
D;penghasilan
D;uang
D;perolehan
D;pencarian
D;honorarium
D;pemasukan
D;penemuan
D;keping
D;biji
D;potong
D;lanjutan
D;susulan
D;terusan
D;tambahan
D;sambungan
D;imbas
D;benturan
D;tempat
D;perbuatan
D;rezeki
D;pencapaian
D;imbalan
D;balasan
D;kelanjutan
D;risiko
D;ganjaran
D;reaksi
D;soal
D;perhitungan
D;rekanan
D;rekenan
D;perkiraan
D;bilangan
D;karya
D;rekaan
D;keluaran
D;betapa
D;bentukan
D;desain
D;sintetis
D;pekerjaan
D;kreasi
D;masakan
D;gubahan
D;pembuatan
D;penerapan
D;surat berharga
D;upaya
D;kata hati
D;buah pikiran
D;kreativitas
D;bisikan
D;suara halus
D;gagasan
D;inventivitas
D;daya cipta
D;gerak hati
D;estimasi
D;kepatutan
D;penerimaan
D;ijtihad
D;visi
D;pengambilan
D;dugaan
D;rintisan
D;daya usaha
D;prakarsa
D;ikhtiar
D;rasa hati
D;konsep
D;lintas akal
D;daya pikir
D;renungan
D;ingatan
D;idaman
D;kenang-kenangan
D;damba
D;dambaan
D;haluan
D;harapan
D;draf
D;corat-coret
D;imaji
D;coret-coretan
D;rengrengan
D;citra
D;apresiasi
D;artian
D;tanggapan
D;konsepsi
D;pemahaman
D;serapan
D;pengenalan
D;rekam
D;rayuan
D;bujukan
D;lamunan
D;imajinasi
D;impian
D;bayang-bayang
D;representasi
D;potret
D;cermin
D;penilaian
D;jawaban
D;sahutan
D;tangkisan
D;respons
D;keunggulan
D;ketinggalan
D;ketangguhan
D;keandalan
D;keutamaan
D;kehebatan
D;pengontrolan
D;koreksi
D;eksperimen
D;diagnosis
D;pengusulan
D;penyeliaan
D;penanggulangan
D;penjagaan
D;survei
D;peninjauan
D;berwibawa
D;berimbas
D;berdampak
D;berakibat
D;berkemampuan
D;samudra
D;mulia
D;berkembang
D;akbar
D;luhur
D;gede
D;dewasa
D;langgam
D;tongkrongan
D;tabah
D;demen
D;berwenang
D;berkompeten
D;bercakap
D;bersumbu
D;awet
D;abadi
D;lestari
D;langgeng
D;kocak
D;teruji
D;tenggang
D;bertapa
D;pujangga
D;pengarang
D;jodoh
D;menerobos
D;terang-terangan
D;kekal
D;menyentuh
D;menggenggam
D;mengantongi
D;lelah
D;menggapai
D;mengulurkan
D;memetik
D;tiba di
D;memperoleh
D;merengkuh
D;letih
D;cape
D;capek
D;menjangkau
D;meraih
D;menyampaikan
D;ampe
D;hingga
D;mendatangi
D;mencukupi
D;memboyong
D;mengumpulkan
D;menyebar
D;mencetak
D;menjaring
D;mewarisi
D;mendapati
D;mengetemui
D;merespons panggilan
D;mengalami
D;mengunjungi
D;merasakan
D;mendeteksi
D;mengindra
D;cium
D;dikenai
D;beroleh
D;menemukan
D;menciptakan
D;cantum
D;mengecup
D;membaui
D;mengendus
D;mengetahui
D;berciuman
D;menangkap
D;memberitahukan
D;menyatakan
D;mendefinisikan
D;merumuskan
D;menetapkan
D;memastikan
D;mensyaratkan
D;menggariskan
D;membatasi
D;menebak
D;menyungguhkan
D;mengukuhkan
D;menegaskan
D;meyakin-yakini
D;mengesahkan
D;meyakinkan
D;memositifkan
D;menunjuk
D;meletakkan
D;menguatkan
D;mengelukan
D;mengarak
D;mengikrarkan
D;menandatangani
D;memberlakukan
D;membenarkan
D;melegalisasi
D;menyahihkan
D;mengabsahkan
D;meresmikan
D;memungut
D;menjalani
D;menuruti
D;adopsi
D;mempekerjakan
D;mempertunjukkan
D;mengutip
D;memesan
D;ditemukan
D;mungkin
D;terima
D;meyakini
D;mengikuti
D;memercayai
D;memeluk kepercayaan
D;mematuhi
D;mengizinkan
D;memperbenar
D;meluruskan
D;bersaksi
D;menyetujui
D;memperbaiki
D;membetulkan
D;meluluskan
D;jabat
D;menyahut
D;menjawat
D;menadah
D;mengacara
D;membumi
D;sejuk hati
D;asyik
D;makmur
D;marem
D;tersipu-sipu
D;bercepat-cepat
D;serempak
D;seketika
D;tengok-tengok
D;dengan nama
D;baru saja
D;saat
D;begitu
D;apabila
D;positivistik
D;kentara
D;mencocok
D;gamblang
D;terbatas
D;berbentuk
D;transparansi
D;riil
D;berwujud
D;global
D;terajut
D;berjumpa
D;terlaksana
D;kedapatan
D;berpapasan
D;jumpa muka
D;berdendang
D;bertingkah
D;perihal
D;peristiwa
D;afair
D;terjadinya
D;sepak terjang
D;tindak tanduk
D;perjalanan
D;tingkah laku
D;aktivitas
D;debaran
D;gerak gerik
D;keaktifan
D;perusahaan
D;daya upaya
D;ventura
D;olahraga
D;gerak-gerik
D;kesibukan
D;gerak laku
D;judul
D;adres
D;obyek
D;perumahan
D;kebijakan
D;kebutuhan
D;fisik
D;konfigurasi
D;butir
D;titik
D;animo
D;kehasratan
D;orientasi
D;arah-arah
D;penjuru
D;bergeser
D;urgensi
D;kesempatan
D;peluang
D;pengharapan
D;prospek
I;bermoral
I;berkarakter
I;berperangai
I;berbudi pekerti
I;berkelakuan
I;berkepribadian
I;bermaksud
I;berkeinginan
I;bertekad
I;berhajat
I;berniat
I;bercita-cita
I;beriktikad
I;berminat
I;berkemauan
I;berharap
I;dahsyat
I;mencolok
I;tekun
I;bercorak
I;berunsur
I;berupa
I;tegak
I;tegap
I;elok
I;gagah
I;berspirit
I;berambisi
I;berencana
I;beraspirasi
I;terdorong
I;menggelorakan
I;memotivasi
I;mengaktifkan
I;menggalakkan
I;menyulut
I;menstimulasi
I;menggiatkan  memacu
I;memecut
I;mendorong
I;membakar
I;gesit
I;gigih
I;menyemangati
I;mengobarkan
I;berapi-api
I;berkobar-kobar
I;menyala-nyala
I;bergelora
I;aktif
I;berwatak
I;dinamis
I;energik
I;berkehendak
I;getol
I;bersifat
I;berhasrat
I;agresif
I;berkobarkobar
I;meluap-luap
I;membaca
I;menggebu-gebu
I;timbul
I;berproses
I;beraksi
I;bekerja
I;beroperasi
I;berperan
I;bergerak
I;berfungsi
I;sibuk
I;tangkas
I;bersungguh-sungguh
I;main
I;menggelora
I;dorongan
I;vitalitas
I;sinar
I;spirit
I;minat
I;aspirasi
I;dinamika
I;daya hidup
I;ambisi
I;bertabiat
I;berperilaku
I;berumah
I;melupakan
I;mendiami
I;berangkat
I;bergulir
I;berputar
I;beranjak
I;berkiprah
I;berkecimpung
I;beralih
I;menggelundung
I;geleser
I;mengalir
I;berusaha
I;berbicara
I;berpindah
I;berdiri
I;muncul
I;berbangkit
I;terbit
I;pijar
I;meningkat
I;kehidupan
I;bertindak
I;berprofesi
I;berkarya
I;berbuat
I;berpraktik
I;berkeluarga
I;bersila
I;berteduh
I;bertempat
I;berkawin
I;menongkrong
I;melungguh
I;berumah tangga
I;bersimpuh
I;bersandar
I;berbaur
I;menikah
I;bepergian
I;berisik
I;kediaman
I;menyombong
I;bertanggung jawab
I;berdenyut-denyut
I;mendenyut
I;berdomisili
I;bersasaran
I;bertujuan
I;terlihat
I;hadir
I;menyimpan
I;memiliki
I;mempunyai
I;tampil
I;boleh
I;tersedia
I;terdapat
I;memegang
I;terselip
I;tampak
I;jantung hati
I;semarak
I;merayu
I;meriangkan
I;gayeng
I;menggirangkan
I;mengembangkan hati
I;biak
I;menumbuh
I;komunikasi
I;berkontak
I;relasi
I;afiliasi
I;pertautan
I;federasi
I;perikatan
I;gabungan
I;gandengan
I;untaian
I;prosedur
I;perantara
I;gelombang
I;penghubung
I;corong
I;akses
I;kenalan
I;interelasi
I;aliansi
I;perhimpunan
I;klub
I;konotasi
I;konsorsium
I;persekutuan
I;perkumpulan
I;koalisi
I;perserikatan
I;persatuan
I;nasabah
I;perkariban
I;korelasi
I;sangkutan paut
I;korespondensi
I;pelanggan
I;persahabatan
I;jejaring
I;persentuhan
I;perjanjian
I;bundel
I;kontrak
I;bingkai
I;bagan
I;lembar
I;tampar
I;ulasan
I;antarhubungan
I;gantungan
I;cantolan
I;peguyuban
I;relevansi
I;cantelan
I;kepentingan
I;konfederasi
I;pakta
I;akad
I;berkumpul
I;keterkaitan
I;hambatan
I;keterlibatan
I;rintangan
I;halangan
I;spontan
I;perseptif
I;refleks
I;keberhasilan
I;nasib baik
I;keberkatan
I;kesuksesan
I;pertolongan
I;bantuan
I;otoritas
I;pemerintahan
I;kekuasaan tertinggi
I;supremasi
I;kekuatan tertinggi
I;keriaan
I;keriangan
I;kesukaan
I;keramaian
I;grup
I;kawanan
I;golongan
I;fraksi
I;lingkaran
I;kaum
I;area
I;jumlah
I;wilayah
I;garis hidup
I;kategori
I;kadar
I;seksi
I;klik
I;pecahan
I;jenis
I;unit
I;gugus
I;komposisi
I;agregat
I;bangsa
I;komunitas
I;klasifikasi
I;pihak
I;kubu
I;fase
I;partai
I;terkerahkan
I;berkerumun
I;berjumat
I;berguyub
I;bergerombol
I;berkampung
I;berkutu
I;terpusat
I;terhimpun
I;berkelompok
I;kongsi
I;berhimpun
I;apel
I;bergabung
I;terekrut perkumpulan asosiasi
I;terkumpul tergabung
I;jemaah
I;kompilasi
I;departemen
I;biro
I;jilid
I;cercah
I;arsip
I;jambak
I;gepok
I;suku
I;ordo
I;pertemuan
I;riungan
I;pengikut
I;jamaah
I;jemaat
I;pundung
I;delegasi
I;kontingen
I;skuat
I;sindikat
I;kartel
I;agregasi
I;go-longan
I;warga
I;nasion
I;kawula
I;deretan
I;rantaian
I;jajaran
I;angkatan
I;laskar
I;orkes
I;ragam
I;gender
I;genre
I;tipe
I;model
I;menghadiri
I;ampunan
I;keizinan
I;restu
I;per-kenan
I;kecenderungan
I;perkenanan
I;ketulusan
I;penyuluhan
I;pengintaian
I;perbaikan
I;terkenang
I;mempertimbangkan
I;berwaswas
I;acuh
I;sadar
I;peduli
I;perspektif
I;penglihatan
I;wawasan
I;tinjauan
I;ujaran
I;perkataan
I;omongan
I;penalaran
I;celotehan
I;ucapan
I;perundingan
I;berurusan
I;berbahasa
I;bincang
I;rembuk
I;wicara
I;nujum
I;telahan
I;kepantasan
I;kelayakan
I;kecocokan
I;kesesuaian
I;kelaikan
I;filsafat
I;maklum
I;sambutan
I;perlakuan
I;penyambutan
I;tafsiran
I;ibarat
I;pengamatan
I;tarekat
I;imbasan
I;pancaran
I;cucuran
I;peredaran
I;sekte
I;pemikiran
I;pengutipan
I;pemungutan
I;tebakan
I;spekulasi
I;dakwaan
I;telaahan
I;ajukan
I;rabaan
I;permohonan
I;paksaan
I;gugatan
I;klaim
I;desakan
I;ultimatum
I;ikat janji
I;kesepakatan
I;nazar
I;ijab
I;batas waktu
I;tenggat
I;penghargaan
I;identifikasi
I;pengesahan
I;pengukuhan
I;peneguhan
I;testimoni
I;penegasan
I;konfirmasi
I;kata sepakat
I;persumpahan
I;sentimen
I;perhatian
I;marah
I;keberanian
I;kuliah
I;khotbah
I;wedaran
I;pidato
I;cerewet
I;nyinyir
I;aleman
I;tangan terbuka
I;ikhlas hati
I;mulia hati
I;konteks
I;suasana
I;berkelas
I;pamor
I;prestisius
I;prestise
I;berpamor
I;kinerja
I;daya muat
I;jajak
I;dosa
I;kekeliruan
I;cadangan
I;program
I;tata acara
I;reka-rekaan
I;cetak biru
I;naskah
I;kelengahan
I;keteledoran
I;kealpaan
I;sembarangan
I;sembrono
I;malas
I;sekira-kira
I;gelagatnya
I;beberapa
I;kurang lebih
I;rasa-rasanya
I;lebih kurang
I;barangkali
I;agaknya
I;terlupa
S;kerap-kerap
S;acap kali
S;sering
S;banyak
S;konvensional
S;reguler
S;umum
S;plural
S;standar
S;membiasakan
S;lumrah
S;wajar
S;tipikal
S;sebagai
S;semestinya
S;sepantasnya
S;fleksibel
S;elastis
S;simpel
S;fundamental
S;esensial
S;primer
S;mendasar
S;mudah
S;swasta
S;bajing loncat
S;pemalak
S;stereotip
S;kaprah
S;generik
S;wajib
S;badung
S;kapabel
S;bibir
S;ucap
S;serasi
S;ujar
S;tahu
S;omong
S;mahir
S;ocehan
S;becus
S;bicara
S;mampu
S;berpengalaman
S;kering
S;literal
S;penulis
S;menjemukan
S;membosankan
S;beken
S;mengakar
S;tetap
S;utas
S;sanggup
S;besar akal
S;spesialis
S;berpendidikan
S;tajam otak
S;prigel
S;berotak tajam
S;terampil
S;berilmu
S;trengginas
S;celaka
S;jarang
S;eksentrik
S;aneh
S;transendental
S;pelik
S;guyub
S;ganjil
S;raib
S;luar biasa
S;awam
S;pada umumnya
S;terlalu banyak
S;biasanya
S;alamiah
S;kerontang
S;puas
S;kenyang
S;lugas
S;sepele
S;medium
S;langsing
S;terkadang
S;selalu
S;protokoler
S;legal
S;sahih
S;halal
S;seremonial
S;bertertib
S;harmonis
S;ajek
S;berirama
S;rampak
S;simetris
S;periodik
S;melodius
S;wagu
S;komunal
S;universal
S;dangkal
S;primitif
S;kasual
S;simpleks
S;raya
S;massa
S;sengaja
S;kampiun
S;cekatan
S;derajat
S;umbul-umbul
S;tolok ukur
S;panji-panji
S;penumpu
S;penongkat
S;etiket
S;barometer
S;renyah
S;takut
S;khawatir
S;gundah
S;semak hati
S;kepompong
S;gilir-bergilir
S;bergiliran
S;sulang-menyulang
S;berubah-ubah
S;berangkai-rangkai
S;bertukar-tukar
S;bersalin-salin
S;bersilih
S;bergilir-gilir
S;gonta-ganti
S;berselang-seling
S;memukul-mukul
S;ragu-ragu
S;hilang akal
S;kacau
S;sesat pusat
S;kalang kabut
S;keraguan
S;ruwet
S;cerai-berai
S;berantakan
S;gado-gado
S;bertautan
S;bongkar-bangkir
S;berliku-liku
S;simpang-siur
S;awut-awutan
S;rumit
S;centang
S;berambu-rambu
S;terguncang
S;bertanya-tanya
S;pepet
S;kusut pikiran
S;berperang hati
S;putus akal
S;panik
S;dungu
S;segan
S;berkecil hati
S;menaruh dahsyat
S;ciut
S;praduga
S;kesangsian
S;prasangka
S;sandang
S;terselempang
S;selimpang
S;meragukan
S;berprasangka
S;menimbangi
S;membanding-banding
S;melawan
S;menyaingi
S;menyamai
S;mengganjar
S;timbang
S;menandingi
S;setimbang
S;timbal
S;mengembalikan
S;berhati-hati
S;keris
S;tergoda
S;menggoyahkan menggerakkan
S;terpengaruh
S;labil
S;menggoyangkan
S;mengoyak-oyak
S;gegar
S;ngeri
S;getar
S;gawat
S;kurang percaya
S;lamban
S;lambat
S;slebor
S;gempar
S;gaul
S;acak-acakan
S;ganggu
S;tidak keruan
S;gaduh
S;geger
S;campur aduk
S;heboh
S;kisruh
S;terombang-ambing
S;ribut
S;bising
S;pengang
S;terputus-putus
S;budek
S;tersendat-sendat
S;abstain
S;mundur maju
S;tergamam
S;tanggung-tanggung
S;teguh
S;bersekutu
S;berkawan
S;berbaikan
S;spaning
S;regang
S;kental
S;kedekatan
S;bangga
S;canggih
S;yahud
S;jempolan
S;fenomenal
S;mengagumkan
S;memuaskan
S;superior
S;hormat
S;hebring
S;menarik
S;mentereng
S;melekat
S;menjelang
S;susur
S;hadapan
S;hampir
S;menempel
S;dempet
S;sebelah
S;sekitar
S;samping
S;menegang
S;menajam
S;menghangat
S;menirus
S;meraut
S;memanas
S;menghebat
S;palak
S;krusial
S;mendesak
S;parah
S;krisis
S;genteng
S;darurat
S;kritis
S;atap
S;urgen
S;sempit
S;grapyak
S;familier
S;sangar
S;alot
S;lunak
S;derai
S;bebas
S;rileks
S;kalem
S;swasembada
S;leluasa
S;cuma-cuma
S;lolos
S;longgar
S;langgas
S;berlepas
S;merdeka
S;otonom
S;netral
S;gratis
S;berdikari
S;mandiri
S;luput
S;permisif
S;mengambil napas
S;tepercaya
S;kesentosaan
S;kesejukan
S;keenakan
S;kenyamanan
S;keselamatan
S;ketentuan
S;kesungguhan
S;kepastian
S;sumpah
S;ketetapan hati
S;petaruh
S;jaminan barang
S;jagoan
S;garansi
S;cengkeram
S;sandaran
S;agunan
S;gadai
S;tanggungan
S;tulang punggung
S;ikutan
S;turutan
S;contoh
S;pembantu
S;pengapit
S;asisten
S;pendamping
S;berkala
S;sreg
S;selaras
S;seimbang
S;bersambung
S;sinkron
S;setaraf
S;bersamaan
S;berbetulan
S;membetuli
S;seperti
S;setem
S;sejalan
S;semufakat
S;bertimbal
S;bersesuai
S;bertemu
S;seirama
S;gatuk
S;berpadanan
S;setimpal
S;berkenaan
S;memadai
S;beruntutan
S;bertepatan
S;bersesuaian
S;pengabdian
S;kepatihan
S;ketundukan
S;komitmen
S;mencarikan
S;meringankan
S;mengakomodasi
S;menghadapi
S;menyokong
S;menumpu
S;menyangga
S;menunjang
S;membahu
S;menggalang
S;bopong
S;gendong
S;kondusif
S;menggendong
S;melandasi
S;kontributif
S;menjunjung
S;mengangkat
S;menanggung
S;membopong
S;menggotong
S;memanggul
S;menjulang
S;memikul
S;meniangpancangi
S;menyepak
S;menerjang
S;menendang
S;menubruk
S;melandaskan
S;mendinginkan
S;menyegarkan
S;meredakan
S;menumbuk
S;merintangkan
S;melengah
S;meredai
S;mengurangkan
S;mengeluarkan
S;menyingkirkan
S;menahan
S;menyinggahkan
S;memberhentikan  melepas
S;memutuskan
S;membantut
S;mendiamkan
S;melabuhkan
S;menghentikan
S;mengakhiri
S;mendaratkan
S;menurunkan
S;membatalkan
S;jeda
S;menyetop
S;meninggalkan
S;meniadakan
S;mendepak
S;gawai
S;peranan
S;bersimpati
S;bertenggang
S;reformis
S;adem
S;tata cara
S;sensitif
S;kecil-kecil
S;lemas
S;estetis
S;mungil
S;betertib
S;berkemajuan
S;bermartabat
S;berdisiplin
S;tahu aturan
S;definitif
S;permanen
S;stasioner
S;patri
S;berimbang
S;penstabilan
S;proporsi
S;ekuilibrium
S;balans
S;kesetimbangan
S;mematung
S;stagnan
S;pasif
S;menarik langkah
S;susut
S;cair
S;padam
S;terjamin
S;terlindung
S;terjaga
S;kompak
S;terpampang
S;bocor
S;terbongkar
S;sibak
S;bentang
S;membuka
S;jarak
S;menganga
S;meruak
S;patroli
S;ronda
S;menunggui
S;kawal
S;berkawal
S;sambang
S;rawat
S;terbagi
S;koyak
S;robek
S;sigar
S;struktur
S;arsitektur
S;terungkap
S;tergerai
S;tersibak
S;terurai
