_id;correspond;jumlah;kata;level
5ccc57789e1a9a1cefa46d1b;I;41;situasi;first
5ccc57939e1a9a1cefa46d23;D;41;lantas;first
5ccc58049e1a9a1cefa46d45;C;40;tajam;first
5ccc59569e1a9a1cefa46d50;S;38;gelisah;first
5ccc58229e1a9a1cefa46d49;C;36;alternatif;first
5ccc572a9e1a9a1cefa46d0d;I;34;berkah;first
5ccc57979e1a9a1cefa46d26;I;33;daulat;first
5ccc597a9e1a9a1cefa46d52;I;33;interaksi;first
5ccc57ac9e1a9a1cefa46d31;C;32;bijaksana;seed
5ccc57b59e1a9a1cefa46d33;S;29;rutin;first
5ccc58299e1a9a1cefa46d4a;D;28;segar;first
5ccc61fe9e1a9a1cefa46d6b;D;24;gelabah;first
5ccc58169e1a9a1cefa46d48;S;23;populer;first
5ccc57cf9e1a9a1cefa46d3c;C;22;logika;seed
5ccc5a8a9e1a9a1cefa46d58;C;18;serpih;first
5ccc57379e1a9a1cefa46d11;C;17;kompetensi;seed
5ccc59a79e1a9a1cefa46d53;S;17;preman;first
5ccc57459e1a9a1cefa46d14;I;16;gengsi;first
5ccc57af9e1a9a1cefa46d32;S;16;kerjasama;seed
5ccc57479e1a9a1cefa46d16;D;14;solid;first
5ccc57da9e1a9a1cefa46d3d;S;14;toleran;first
5ccc5b129e1a9a1cefa46d5b;D;11;praktis;seed
5ccc68de9e1a9a20a75310a6;C;11;spesifikasi;first
5ccc5aa89e1a9a1cefa46d59;S;10;goyah;first
5ccc57789e1a9a1cefa46d1a;D;9;kontrol;seed
5ccc57b69e1a9a1cefa46d34;I;9;antusiasme;seed
5ccc58379e1a9a1cefa46d4b;C;9;logis;seed
5ccc59009e1a9a1cefa46d4e;C;9;kikis;first
5ccc69309e1a9a20a75310a9;C;9;investigasi;first
5ccc57919e1a9a1cefa46d22;D;8;inisiatif;first
5ccc57a99e1a9a1cefa46d2f;S;8;stabilitas;seed
5ccc5a0f9e1a9a1cefa46d56;S;8;bimbang;seed
5ccc57bd9e1a9a1cefa46d38;S;7;religi;first
5ccc57cf9e1a9a1cefa46d3b;C;6;gejala;first
5ccc59669e1a9a1cefa46d51;S;6;mapan;first
5ccc5af09e1a9a1cefa46d5a;I;6;taksir;seed
5ccc57829e1a9a1cefa46d1e;D;5;frontal;first
5ccc57b79e1a9a1cefa46d37;D;5;tawakal;first
5ccc57f09e1a9a1cefa46d41;D;5;wijaya;first
5ccc58509e1a9a1cefa46d4d;C;5;dalil;first
5ccc5b609e1a9a1cefa46d5d;S;5;naif;first
5ccc5e029e1a9a1cefa46d62;I;5;divisi;first
5ccc5e8a9e1a9a1cefa46d65;C;5;elite;first
5ccc57829e1a9a1cefa46d1d;D;4;banter;first
5ccc57a29e1a9a1cefa46d2d;S;4;informal;seed
5ccc59229e1a9a1cefa46d4f;S;4;luwes;first
5ccc5b209e1a9a1cefa46d5c;C;4;perfeksionis;seed
5ccc5faa9e1a9a1cefa46d6a;C;4;vak;first
5ccc62469e1a9a1cefa46d6e;C;4;ludes;first
5ccc633a9e1a9a1cefa46d72;C;4;fasih;first
5ccc69219e1a9a20a75310a7;I;4;asosiasi;first
5ccc6b4d9e1a9a20a75310ad;D;4;kolong;first
5ccc6e609e1a9a20a75310b3;S;4;belalak;first
5ccc58049e1a9a1cefa46d46;I;3;intuisi;seed
5ccc583b9e1a9a1cefa46d4c;S;3;longo;first
5ccc59cc9e1a9a1cefa46d54;S;3;melar;first
5ccc5e969e1a9a1cefa46d66;C;3;efisiensi;first
5ccc5ee39e1a9a1cefa46d67;C;3;cermat;seed
5ccc5eff9e1a9a1cefa46d68;C;3;mempan;first
5ccc632a9e1a9a1cefa46d71;S;3;jelata;first
5ccc63a59e1a9a1cefa46d74;D;3;falah;first
5ccc6af99e1a9a20a75310ab;I;3;akreditasi;first
5ccc5a0c9e1a9a1cefa46d55;D;2;peron;first
5ccc5a2a9e1a9a1cefa46d57;S;2;blakblakan;first
5ccc5c0f9e1a9a1cefa46d5e;I;2;bondong;first
5ccc5df29e1a9a1cefa46d61;D;2;ketidaksabaran;seed
5ccc5e7e9e1a9a1cefa46d64;D;2;anyar;first
5ccc5fa39e1a9a1cefa46d69;I;2;pusu;first
5ccc622c9e1a9a1cefa46d6c;C;2;makbul;first
5ccc62529e1a9a1cefa46d6f;D;2;skeptis;seed
5ccc64a69e1a9a1cefa46d76;C;2;hujah;first
5ccc5c929e1a9a1cefa46d5f;D;1;trendi;first
5ccc5dc29e1a9a1cefa46d60;I;1;ekspresif;seed
5ccc5e109e1a9a1cefa46d63;C;1;otentik;first
5ccc623b9e1a9a1cefa46d6d;I;1;plug;first
5ccc62629e1a9a1cefa46d70;C;1;resik;first
5ccc634d9e1a9a1cefa46d73;C;1;manjur;first
5ccc63dd9e1a9a1cefa46d75;C;1;performa;first
5ccc64dc9e1a9a1cefa46d77;S;1;limbung;first
5ccc64e79e1a9a1cefa46d78;C;1;ihram;first
5ccc692d9e1a9a20a75310a8;D;1;pagan;first
5ccc6ae89e1a9a20a75310aa;D;1;direk;first
5ccc6b459e1a9a20a75310ac;C;1;tahrir;first
5ccc6b5b9e1a9a20a75310ae;S;1;koman;first
5ccc6bc99e1a9a20a75310af;C;1;kalis;first
5ccc6bd29e1a9a20a75310b0;S;1;lasak;first
5ccc6bd69e1a9a20a75310b1;D;1;lajak;first
5ccc6dfb9e1a9a20a75310b2;C;1;persisi;first
